# This file is generated on 12-Dec-2021 at 19:48:52 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 3.9953e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 3.2574e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 3.0662e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 2.9294e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 2.8968e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, 2.8892e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 2.8922e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, 2.9015e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, 2.9142e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 4.4792e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 3.9771e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 3.4721e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 3.0392e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 2.6498e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 2.2874e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.9640e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 1.6600e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 1.3827e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 1.1733e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 9.5460e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 7.7671e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 6.1992e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 4.9487e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 4.1306e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 3.2519e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 2.6489e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 2.4921e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 2.3800e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 2.3521e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.0000e+01, 2.3440e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 2.3444e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.0000e+01, 2.3502e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.9990e+01, 2.3589e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 3.9928e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 3.5311e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 3.0681e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 2.6725e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 2.3177e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 1.9913e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 1.7034e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 1.4344e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 1.1904e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 1.0074e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 8.1703e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 6.6300e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 5.2818e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 4.2106e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 3.5114e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 2.7620e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 2.2479e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 2.1137e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e+01, 2.0178e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 1.9931e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.0000e+01, 1.9850e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 1.9840e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.0000e+01, 1.9876e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.9990e+01, 1.9939e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 3.5634e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 3.1429e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 2.7227e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 2.3648e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 2.0448e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 1.7526e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 1.4963e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 1.2578e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 1.0422e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 8.8090e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 7.1360e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 5.7856e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 4.6064e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 3.6708e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 3.0606e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 2.4070e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 1.9589e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 1.8421e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.0000e+01, 1.7587e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 1.7371e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.0000e+01, 1.7299e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 1.7287e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.0000e+01, 1.7315e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.9990e+01, 1.7366e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 3.2490e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 2.8591e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 2.4704e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 2.1403e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 1.8460e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 1.5787e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 1.3455e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 1.1292e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 9.3421e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 7.8882e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 6.3827e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 5.1705e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 4.1143e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 3.2773e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 2.7319e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 2.1480e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 1.7480e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.0000e+01, 1.6438e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.0000e+01, 1.5694e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, 1.5501e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.0000e+01, 1.5434e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, 1.5421e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.0000e+01, 1.5443e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.9990e+01, 1.5486e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 3.0121e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 2.6454e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 2.2807e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 1.9716e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 1.6967e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 1.4481e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 1.2324e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 1.0327e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 8.5321e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 7.1971e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 5.8173e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 4.7086e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 3.7446e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 2.9816e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 2.4849e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.9533e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 1.5893e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 1.4945e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.0000e+01, 1.4269e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, 1.4092e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.0000e+01, 1.4030e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.0000e+01, 1.4015e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.0000e+01, 1.4033e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.9990e+01, 1.4070e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 2.8302e+01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 2.4815e+01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 2.1353e+01
