# This file is generated on 25-Nov-2021 at 16:49:18 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 1.9674e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 7.5971e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 3.6121e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 5.2111e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 2.0500e-04
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 1.2942e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 1.2521e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 1.1742e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 1.0828e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 9.8208e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 8.8765e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 7.5585e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 6.2887e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 4.9387e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 3.7270e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 2.7887e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 1.5922e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 6.1482e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 2.9232e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 4.2173e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 1.6590e-04
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 1.0939e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 1.0939e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 1.0939e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 1.0939e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 1.0939e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 1.0583e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 9.9250e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 9.1525e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 8.3009e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 7.5027e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 6.3888e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 5.3155e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 4.1743e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 3.1502e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 2.3571e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 1.3458e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 5.1967e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 2.4708e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 3.5646e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 1.4023e-04
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 9.5359e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 9.5359e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 9.5359e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 9.5359e+00
